News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
12				 || 			Positive			 || 			"nullWork, from, home, a, factor, of, life, in, the, Covid, pandemic, seems, to, have, become, work, from, Himachal, Pradesh, with, thousands, of, people, pouring, into, the, hill, state, to, escape, the, confines, of, their, homes, an"			 || 			"Work from home, a factor of life in the Covid pandemic, seems to have become work from Himachal Pradesh with thousands of people pouring into the hill state to escape the confines of their homes an "
13				 || 			Positive			 || 			"nullB, R, Ambedkar, once, said, fraternity, can, be, a, fact, only, when, there, is, a, nation, Without, fraternity, equality, and, liberty, will, be, no, deeper, than, coats, of, paint, rnIn, a, recent, comprehensive, facetof"			 || 			"B.R. Ambedkar once said, ... fraternity can be a fact only when there is a nation. Without fraternity, equality and liberty will be no deeper than coats of paint.rnIn a recent comprehensive facetof "
14				 || 			Neutral			 || 			"nullWhen, Kroger, customers, in, Cincinnati, shop, online, these, days, their, groceries, may, be, picked, out, not, by, a, worker, in, their, local, supermarket, but, by, a, robot, in, a, nearby, warehouse, And, in, the, drivethrou"			 || 			"When Kroger customers in Cincinnati shop online these days, their groceries may be picked out not by a worker in their local supermarket but by a robot in a nearby warehouse... And in the drivethrou "
15				 || 			Negative			 || 			"nullWhether, you, think, automation, is, a, serious, issue, for, the, future, of, work, may, depend, on, your, prior, perspective, about, the, history, of, this, issue, Many, economists, Dean, Baker, among, them, note, that, previous"			 || 			"Whether you think automation is a serious issue for the future of work may depend on your prior perspective about the history of this issue. Many economists, Dean Baker among them, note that previous "
16				 || 			Positive			 || 			"nullBackpacker, hostel, brand, GoStops, on, Thursday, announced, that, it, has, raised, 1, million, in, preseries, A, round, led, by, Indian, Angel, Network, (IAN), and, Yuj, Ventures, the, private, investing, arm, of, the, family, o"			 || 			"Backpacker hostel brand GoStops on Thursday announced that it has raised 1 million in preseries A round led by Indian Angel Network (IAN) and Yuj Ventures, the private investing arm of the family o "
17				 || 			Positive			 || 			"nullThe, tourist, surge, is, a, major, cause, for, concern, for, the, hill, states, (File)rnShimla:, Work, From, Home, which, has, become, the, new, normal, amid, the, coronavirus, pandemic, has, turned, into, Work, From, Himachal, P"			 || 			"The tourist surge is a major cause for concern for the hill states (File)rnShimla: Work From Home, which has become the new normal amid the coronavirus pandemic, has turned into Work From Himachal P "
18				 || 			Positive			 || 			"nullTo, varying, degrees, the, leaders, of, all, Nova, Scotias, major, parties, have, signalled, their, intent, to, protect, the, environment, if, theyre, given, the, chance, to, govern, but, experts, say, delivering, on, those, pro"			 || 			"To varying degrees, the leaders of all Nova Scotias major parties have signalled their intent to protect the environment if theyre given the chance to govern but experts say delivering on those pro "
19				 || 			Positive			 || 			"nullHALIFAX, The, Nova, Scotia, government, announced, today, it, will, eliminate, all, regulatory, fees, for, new, businesses, during, their, first, two, years, in, operation, rnThe, pledge, stems, from, recommendations, by, the"			 || 			"HALIFAX  The Nova Scotia government announced today it will eliminate all regulatory fees for new businesses during their first two years in operation.rnThe pledge stems from recommendations by the  "
20				 || 			Neutral			 || 			"nullNEWS, RELEASECOVID19/HEALTH/WELLNESSNova, Scotians, who, received, their, first, dose, of, COVID19, vaccine, on, or, before, May, 30, and, are, scheduled, to, receive, their, second, dose, on, or, b"			 || 			"NEWS RELEASECOVID19/HEALTH/WELLNESSNova Scotians who received their first dose of COVID19 vaccine on or before May 30 and are scheduled to receive their second dose on or b "
21				 || 			Neutral			 || 			"nullHALIFAX, Nova, Scotias, top, public, health, doctor, says, there, have, been, 22, cases, of, heart, inflammation, reported, in, the, province, after, immunization, with, PfizerBioNTech, or, Moderna, COVID19, vaccines, rnThe"			 || 			"HALIFAX Nova Scotias top public health doctor says there have been 22 cases of heart inflammation reported in the province after immunization with PfizerBioNTech or Moderna COVID19 vaccines.rnThe  "
22				 || 			Negative			 || 			"nullNova, Scotias, NDP, Leader, Gary, Burrill, added, that, his, party, is, also, promising, to, do, away, with, the, suspicious, activity, exception, for, the, checks, calling, the, practice, highly, problematic, rnNova, Scot"			 || 			"Nova Scotias NDP Leader Gary Burrill added that his party is also promising to do away with the suspicious activity exception for the checks, calling the practice highly problematic. rnNova Scot "
23				 || 			Positive			 || 			"nullHALIFAX, rnNova, Scotia, hit, a, major, vaccine, milestone, by, delivering, the, provinces, onemillionth, dose, of, COVID19, vaccine, on, Sunday, rnN, S, Premier, Iain, Rankin, toured, the, IWK, hospitals, vaccination, cl"			 || 			"HALIFAX  rnNova Scotia hit a major vaccine milestone by delivering the provinces onemillionth dose of COVID19 vaccine on Sunday.rnN.S. Premier Iain Rankin toured the IWK hospitals vaccination cl "
24				 || 			Positive			 || 			"nullWow, What, a, day, we, had!, Day, one, of, the, 2021, NHL, Draft, began, with, many, many, trades, 12, players, and, 11, picks, including, three, first, round, picks, for, this, draft, were, traded, before, the, draft, began, L"			 || 			"Wow. What a day we had! Day one of the 2021 NHL Draft began with many, many, trades. 12 players and 11 picks  including three first round picks for this draft  were traded before the draft began. L "
25				 || 			Neutral			 || 			"nullBy, Reuters, Staffrn(Reuters), Fashion, retailer, HampM, has, taken, a, sales, hit, in, China, in, recent, months, its, latest, results, showed, after, consumers, there, called, for, boycotts, of, foreign, apparel, brands"			 || 			"By Reuters Staffrn(Reuters)  Fashion retailer HampM has taken a sales hit in China in recent months, its latest results showed, after consumers there called for boycotts of foreign apparel brands  "
26				 || 			Positive			 || 			"nullPremier, of, Manitoba, Brian, Pallister, speaks, at, a, news, conference, after, the, 2021, budget, was, delivered, at, the, Manitoba, Legislative, Building, in, Winnipeg, on, April, 7, 2021, rnDavid, Lipnowski/The, Canadian, Pr"			 || 			"Premier of Manitoba Brian Pallister speaks at a news conference after the 2021 budget was delivered at the Manitoba Legislative Building in Winnipeg on April 7, 2021.rnDavid Lipnowski/The Canadian Pr "
27				 || 			Neutral			 || 			"nullBalancing, rock, sculptures, at, Remic, Rapids, Park, along, the, Ottawa, River, in, Ottawa, (Brian, Morris/CBC, image, credit)rnRecent, developments:rnulliOttawa, reports, seven, more, cases, of, COVID19, Monday, rn"			 || 			"Balancing rock sculptures at Remic Rapids Park along the Ottawa River in Ottawa. (Brian Morris/CBC  image credit)rnRecent developments:rnulliOttawa reports seven more cases of COVID19 Monday.rn "
28				 || 			Negative			 || 			"nullA, QR, code, showing, proof, of, vaccination, is, seen, on, a, smartphone, at, a, Montreal, COVID19, vaccination, clinic, in, May, If, COVID19, cases, surge, in, Quebec, this, fall, the, province, says, people, who, arent, fully"			 || 			"A QR code showing proof of vaccination is seen on a smartphone at a Montreal COVID19 vaccination clinic in May. If COVID19 cases surge in Quebec this fall, the province says people who arent fully "
29				 || 			Positive			 || 			"nullOTTAWA, rnAs, Ottawa, hits, 70, per, cent, of, adults, fully, vaccinated, against, COVID19, the, citys, associate, medical, officer, of, health, suggests, Ottawa, needs, to, get, closer, to, 90, per, cent, to, protect, agains"			 || 			"OTTAWA  rnAs Ottawa hits 70 per cent of adults fully vaccinated against COVID19, the citys associate medical officer of health suggests Ottawa needs to get closer to 90 per cent to protect agains "
30				 || 			Neutral			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, one, new, case, of, COVID19, on, Thursday, as, the, active, number, of, cases, in, the, province, rises, to, eight, rnThe, new, case, involves, a, person, in, their, 60s, in, the, Frederi"			 || 			"HALIFAX  rnNew Brunswick is reporting one new case of COVID19 on Thursday, as the active number of cases in the province rises to eight.rnThe new case involves a person in their 60s in the Frederi "
31				 || 			Negative			 || 			"nullRisk, of, border, slowdown:, The, timing, of, the, potential, strike, could, complicate, Canadas, reopening, plan, before, its, due, to, get, going, three, days, later, rnThe, Trudeau, government, announced, last, week, that, Cana"			 || 			"Risk of border slowdown: The timing of the potential strike could complicate Canadas reopening plan before its due to get going three days later.rnThe Trudeau government announced last week that Cana "
32				 || 			Neutral			 || 			"nullB, C, health, officials, say, they, are, ramping, up, efforts, over, the, next, two, weeks, to, vaccinate, as, many, people, as, possible, rnThe, increased, effort, includes, walkin, Wednesday, on, Aug, 4, across, the, province, w"			 || 			"B.C. health officials say they are ramping up efforts over the next two weeks to vaccinate as many people as possible.rnThe increased effort includes walkin Wednesday on Aug. 4 across the province w "
33				 || 			Negative			 || 			"nullFREDERICTON, New, Brunswicks, health, minister, says, experts, are, working, as, quickly, as, possible, to, study, a, mysterious, neurological, disease, that, has, killed, six, people, and, infected, 48, rnBut, Dorothy, Shepha"			 || 			"FREDERICTON  New Brunswicks health minister says experts are working as quickly as possible to study a mysterious neurological disease that has killed six people and infected 48.rnBut Dorothy Shepha "
34				 || 			Positive			 || 			"nullBy, Reuters, StaffrnFILE, PHOTO:, Souvenir, luggage, tags, are, displayed, at, a, Barrick, Gold, Corp, at, the, Prospectors, and, Developers, Association, of, Canada, (PDAC), annual, conference, in, Toronto, Ontario, Canada, M"			 || 			"By Reuters StaffrnFILE PHOTO: Souvenir luggage tags are displayed at a Barrick Gold Corp at the Prospectors and Developers Association of Canada (PDAC) annual conference in Toronto, Ontario, Canada M "
35				 || 			Neutral			 || 			"nullBy, Reuters, Staffrn, Canadian, dollar, weakens, 0, 3, against, greenbackrn, Loonie, trades, in, range, of, 1, 2311, to, 1, 2360rn, Price, of, U, S, oil, rises, 0, 2rn, Canadian, bond, yields, rise, across, steeper, curvern"			 || 			"By Reuters Staffrn Canadian dollar weakens 0.3 against greenbackrn  Loonie trades in range of 1.2311 to 1.2360rn  Price of U.S. oil rises 0.2rn  Canadian bond yields rise across steeper curvern "
36				 || 			Neutral			 || 			"nullBy, Reuters, Staffrn, Canadian, dollar, strengthens, 0, 4, against, the, greenbackrn, Loonie, touches, its, weakest, since, June, 21, at, 1, 2449rn, Canada, posts, a, trade, deficit, of, C1, 39, billion, in, Mayrn, Price, o"			 || 			"By Reuters Staffrn Canadian dollar strengthens 0.4 against the greenbackrn  Loonie touches its weakest since June 21 at 1.2449rn  Canada posts a trade deficit of C1.39 billion in Mayrn  Price o "
37				 || 			Positive			 || 			"nullBy, Reuters, Staffrn, Canadian, dollar, weakens, 0, 2, against, the, greenbackrn, Flash, estimate, shows, Canadian, factory, sales, up, 1, 9, inrnJunern, Price, of, U, S, oil, rises, 0, 7rn, Canadian, bond, yields, ease"			 || 			"By Reuters Staffrn Canadian dollar weakens 0.2 against the greenbackrn  Flash estimate shows Canadian factory sales up 1.9 inrnJunern  Price of U.S. oil rises 0.7rn  Canadian bond yields ease  "
38				 || 			Positive			 || 			"nullCanadian, dollar, weakens, 0, 4, against, the, greenbackrn, Price, of, U, S, oil, decreases, 0, 5rn, Canadian, 10year, yield, eases, 2, 8, basis, points, to, 1, 373rnBy, Fergal, Smithrn, TORONTO, July, 6, (Reuters), Th"			 || 			" Canadian dollar weakens 0.4 against the greenbackrn  Price of U.S. oil decreases 0.5rn  Canadian 10year yield eases 2.8 basis points to 1.373rnBy Fergal Smithrn TORONTO, July 6 (Reuters)  Th "
39				 || 			Neutral			 || 			"nullDec, 28, 2019, Toronto, Ontario, CAN, New, York, Rangers, forward, Brett, Howden, (21), celebrates, after, scoring, against, Toronto, Maple, Leafs, in, the, first, period, at, Scotiabank, Arena, Mandatory, Credit:, Dan, Ham"			 || 			"Dec 28, 2019 Toronto, Ontario, CAN New York Rangers forward Brett Howden (21) celebrates after scoring against Toronto Maple Leafs in the first period at Scotiabank Arena. Mandatory Credit: Dan Ham "
40				 || 			Positive			 || 			"nullBy, Reuters, StaffrnJuly, 13, (Reuters), Canadas, main, stock, index, rose, on, Tuesday, as, cannabis, producers, rallied, driven, by, upbeat, earnings, from, OrganiGram, Holdings, and, sent, the, healthcare, index, surging"			 || 			"By Reuters StaffrnJuly 13 (Reuters)  Canadas main stock index rose on Tuesday as cannabis producers rallied, driven by upbeat earnings from OrganiGram Holdings, and sent the healthcare index surging "
41				 || 			Neutral			 || 			"nullOn, Friday, a, flood, of, ransomware, hit, hundreds, of, companies, around, the, world, A, grocery, store, chain, a, public, broadcaster, schools, and, a, national, railway, system, were, all, hit, by, the, fileencrypting, ma"			 || 			"On Friday, a flood of ransomware hit hundreds of companies around the world. A grocery store chain, a public broadcaster, schools, and a national railway system were all hit by the fileencrypting ma "
42				 || 			Positive			 || 			"nullVisualping, a, service, that, can, help, you, monitor, websites, for, changes, like, price, drops, or, other, updates, announced, that, it, has, raised, a, 6, million, extension, to, the, 2, million, seed, round, it, announced, e"			 || 			"Visualping, a service that can help you monitor websites for changes like price drops or other updates, announced that it has raised a 6 million extension to the 2 million seed round it announced e "
43				 || 			Positive			 || 			"nullClass, a, virtual, classroom, that, integrates, exclusively, with, Zoom, announced, today, that, it, has, raised, 105, million, in, a, financing, led, by, SoftBank, Vision, Fund, II, The, 10month, old, startup, has, now, raise"			 || 			"Class, a virtual classroom that integrates exclusively with Zoom, announced today that it has raised 105 million in a financing led by SoftBank Vision Fund II. The 10month old startup has now raise "
44				 || 			Positive			 || 			"nullRedwood, Materials, CEO, JB, Straubel, shared, his, aspirations, last, year, to, turn, the, startup, he, cofounded, in, 2017, into, one, of, the, worlds, major, battery, recycling, companies, Now, the, former, Tesla, cofounder"			 || 			"Redwood Materials CEO JB Straubel shared his aspirations last year to turn the startup he cofounded in 2017 into one of the worlds major battery recycling companies. Now, the former Tesla cofounder "
45				 || 			Positive			 || 			"nullOn, Friday, President, Joe, Biden, signed, an, executive, order, aiming, to, encourage, competition, in, the, economyspecifically, targeting, some, business, practices, popular, with, massive, tech, firms, rnTitled, the, Exec"			 || 			"On Friday, President Joe Biden signed an executive order aiming to encourage competition in the economyspecifically targeting some business practices popular with massive tech firms.rnTitled the Exec "
46				 || 			Neutral			 || 			"nullMs, Grano, agreed, to, let, Ms, Ray, introduce, her, to, three, men, a, month, with, the, goal, of, finding, her, soul, mate, by, the, 12th, month, Before, she, could, meet, more, than, a, few, potential, matches, she, heard, Mr, Gr"			 || 			"Ms. Grano agreed to let Ms. Ray introduce her to three men a month, with the goal of finding her soul mate by the 12th month. Before she could meet more than a few potential matches, she heard Mr. Gr "
47				 || 			Negative			 || 			"nullmedia, captionWatch:, Lytton, British, Columbia, residents, flee, wildfiresrnMore, than, 130, wildfires, fuelled, by, lightning, strikes, are, burning, across, western, Canada, following, a, recordbreaking, heatwave"			 || 			"media captionWatch: Lytton, British Columbia residents flee wildfiresrnMore than 130 wildfires  fuelled by lightning strikes  are burning across western Canada following a recordbreaking heatwave. "
48				 || 			Neutral			 || 			"nullimage, copyrightGetty, Imagesrnimage, captionMary, Simon, is, Canadas, thirtyfifth, governor, generalrnCanadian, Prime, Minister, has, named, Mary, Simon, as, governor, general, the, first, Indigenous, person, to, hold, t"			 || 			"image copyrightGetty Imagesrnimage captionMary Simon is Canadas thirtyfifth governor generalrnCanadian Prime Minister has named Mary Simon as governor general, the first Indigenous person to hold t "
49				 || 			Neutral			 || 			"nullWhile, scientists, have, found, plenty, of, exoplanets, over, the, years, theyve, yet, to, spot, to, moons, orbiting, those, worlds, outside, our, solar, system, Now, a, group, of, astronomers, has, discovered, (PDF), whats, b"			 || 			"While scientists have found plenty of exoplanets over the years, theyve yet to spot to moons orbiting those worlds outside our solar system. Now, a group of astronomers has discovered (PDF) whats b "
50				 || 			Neutral			 || 			"nullWaymo, Googles, former, selfdriving, car, project, thats, now, an, independent, business, unit, under, Alphabet, is, expanding, its, presence, in, the, eastern, U, S, The, company, said, Thursday, it, would, be, opening, offic"			 || 			"Waymo, Googles former selfdriving car project thats now an independent business unit under Alphabet, is expanding its presence in the eastern U.S. The company said Thursday it would be opening offic "
51				 || 			Positive			 || 			"nullIn, Bangladesh, students, often, rely, on, after, school, learning, centers, for, study, help, or, test, preparation, but, many, of, the, best, ones, are, concentrated, in, major, cities, Edtech, startup, Shikho, was, created, t"			 || 			"In Bangladesh, students often rely on after school learning centers for study help or test preparation, but many of the best ones are concentrated in major cities. Edtech startup Shikho was created t "
52				 || 			Positive			 || 			"nullFor, decades, the, Kennedy, family, was, one, of, the, most, powerful, political, dynasties, in, the, country, the, most, famous, of, which, need, no, introduction:, President, John, F, Kennedy, his, brothers, Attorney, Genera"			 || 			"For decades, the Kennedy family was one of the most powerful political dynasties in the country, the most famous of which need no introduction: President John F. Kennedy, his brothers Attorney Genera "
53				 || 			Positive			 || 			"nullAncient, rocks, from, northwestern, Canada, have, been, found, to, contain, structures, consistent, with, sea, sponges, At, 890, million, years, old, they, could, be, the, oldest, known, animal, fossils, on, Earth, rnSimple, si"			 || 			"Ancient rocks from northwestern Canada have been found to contain structures consistent with sea sponges. At 890 million years old, they could be the oldest known animal fossils on Earth.rnSimple, si "
54				 || 			Neutral			 || 			"nullAbstractrnProblemrnDespite, mounting, evidence, that, incorporation, of, QI, curricula, into, surgical, trainee, education, improves, morbidity, and, outcomes, surgery, training, programs, lack, standardized, QI, curricu"			 || 			"AbstractrnProblemrnDespite mounting evidence that incorporation of QI curricula into surgical trainee education improves morbidity and outcomes, surgery training programs lack standardized QI curricu "
55				 || 			Positive			 || 			"nullBut, Graham, Hatfull, a, microbiologist, at, the, University, of, Pittsburgh, wonders, whether, there, couldnt, be, other, large, viruses, similar, to, the, bacteriainvading, viruses, that, he, helped, discover, that, infe"			 || 			"But Graham Hatfull, a microbiologist at the University of Pittsburgh, wonders whether there couldnt be other large viruses, similar to the bacteriainvading viruses that he helped discover, that infe "
56				 || 			Negative			 || 			"nullBy, Reuters, StaffrnLONDON, July, 7, (Reuters), British, house, prices, in, June, fell, in, monthly, terms, for, the, first, time, since, January, as, the, government, prepared, to, scale, back, its, tax, break, for, homebuyers"			 || 			"By Reuters StaffrnLONDON, July 7 (Reuters)  British house prices in June fell in monthly terms for the first time since January as the government prepared to scale back its tax break for homebuyers "
57				 || 			Neutral			 || 			"nullHALIFAX, Nova, Scotias, top, public, health, doctor, says, there, have, been, 22, cases, of, heart, inflammation, reported, in, the, province, after, immunization, with, PfizerBioNTech, or, Moderna, COVID19, vaccines, rnThe"			 || 			"HALIFAX Nova Scotias top public health doctor says there have been 22 cases of heart inflammation reported in the province after immunization with PfizerBioNTech or Moderna COVID19 vaccines.rnThe  "
58				 || 			Negative			 || 			"nullAMHERST, N, S, rnNova, Scotia, Liberal, Leader, Iain, Rankin, was, confronted, by, a, group, of, angry, hecklers, during, an, announcement, in, Amherst, N, S, Tuesday, where, he, said, his, party, would, remove, some, of, th"			 || 			"AMHERST, N.S.  rnNova Scotia Liberal Leader Iain Rankin was confronted by a group of angry hecklers during an announcement in Amherst, N.S., Tuesday, where he said his party would remove some of th "
59				 || 			Positive			 || 			"nullTORONTO, rnFully, vaccinated, Canadians, returning, to, the, country, from, abroad, expressed, relief, Monday, at, no, longer, having, to, quarantine, for, two, weeks, rnEffective, this, week, citizens, and, permanent, resi"			 || 			"TORONTO  rnFully vaccinated Canadians returning to the country from abroad expressed relief Monday at no longer having to quarantine for two weeks.rnEffective this week, citizens and permanent resi "
60				 || 			Neutral			 || 			"nullHALIFAX, rnFor, the, ninth, consecutive, day, New, Brunswick, is, reporting, no, new, cases, of, COVID19, on, Wednesday, along, with, two, recoveries, as, the, active, number, of, cases, in, the, province, drops, to, two, rnI"			 || 			"HALIFAX  rnFor the ninth consecutive day, New Brunswick is reporting no new cases of COVID19 on Wednesday, along with two recoveries, as the active number of cases in the province drops to two.rnI "
61				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, will, move, into, the, Green, phase, of, its, recovery, plan, on, July, 30, lifting, all, public, health, restrictions, and, opening, the, province, to, travel, Premier, Blaine, Higgs, announced, Fr"			 || 			"HALIFAX  rnNew Brunswick will move into the Green phase of its recovery plan on July 30, lifting all public health restrictions and opening the province to travel, Premier Blaine Higgs announced Fr "
62				 || 			Negative			 || 			"nullMONTREAL, Last, week, Quebec, Health, Minister, Christian, Dub, announced, a, COVID19, vaccination, lottery, in, a, bid, to, reinvigorate, slowing, vaccinations, and, prevent, a, surge, of, the, dangerous, Delta, variant"			 || 			"MONTREAL Last week,Quebec Health Minister, Christian Dub, announced a COVID19 vaccination lottery in a bid to reinvigorate slowing vaccinations and prevent a surge of the dangerous Delta variant. "
63				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, will, move, into, the, Green, phase, of, its, recovery, plan, on, July, 30, lifting, all, public, health, restrictions, and, opening, the, province, to, travel, Premier, Blaine, Higgs, announced, Fr"			 || 			"HALIFAX  rnNew Brunswick will move into the Green phase of its recovery plan on July 30, lifting all public health restrictions and opening the province to travel, Premier Blaine Higgs announced Fr "
64				 || 			Positive			 || 			"nullHello, Earthlings!This, is, our, weekly, newsletter, on, all, things, environmental, where, we, highlight, trends, and, solutions, that, are, moving, us, to, a, more, sustainable, world, (Sign, up, hereto, get, it, in, your, i"			 || 			"Hello, Earthlings!This is our weekly newsletter on all things environmental, where we highlight trends and solutions that are moving us to a more sustainable world.(Sign up hereto get it in your i "
65				 || 			Positive			 || 			"nullPhoto, credit:, All, Elite, WrestlingrnWhen, Kenny, Omega, won, the, AEW, World, Championship, on, the, Dec, 2, episode, of, Dynamite, he, seemingly, accomplished, the, goal, that, many, New, Japan, ProWrestling, fans, had, set"			 || 			"Photo credit: All Elite WrestlingrnWhen Kenny Omega won the AEW World Championship on the Dec. 2 episode of Dynamite, he seemingly accomplished the goal that many New Japan ProWrestling fans had set "
66				 || 			Positive			 || 			"nullWhat, about, us?, We, are, the, 3, billion, after, all, What, if, every, Facebook, user, decided, to, be, a, better, person, to, think, harder, to, know, more, to, be, kinder, more, patient, and, more, tolerant?, Well, weve, bee"			 || 			"What about us? We are the 3 billion, after all. What if every Facebook user decided to be a better person, to think harder, to know more, to be kinder, more patient, and more tolerant? Well, weve bee "
67				 || 			Neutral			 || 			"nullUber, and, Lyft, are, pouring, millions, of, dollars, into, incentives, for, drivers, to, return, a, shortterm, fix, that, has, helped, alleviate, the, scarcity, and, tempered, fare, increases, in, some, areas, but, that, has, als"			 || 			"Uber and Lyft are pouring millions of dollars into incentives for drivers to return, a shortterm fix that has helped alleviate the scarcity and tempered fare increases in some areas but that has als "
68				 || 			Negative			 || 			"null(Bloomberg), A, deepening, selloff, in, Chinese, stocks, spread, to, the, bond, and, currency, markets, on, Tuesday, as, unverified, rumors, swirled, that, U, S, funds, are, offloading, China, and, Hong, Kong, assets, rnThe, sp"			 || 			"(Bloomberg)  A deepening selloff in Chinese stocks spread to the bond and currency markets on Tuesday as unverified rumors swirled that U.S. funds are offloading China and Hong Kong assets.rnThe sp "
69				 || 			Negative			 || 			"nullEDMONTON, rnA, thick, layer, of, haze, and, smoke, has, been, blanketing, Edmonton, for, days, as, wildfire, smoke, from, B, C, Saskatchewan, and, the, U, S, continues, to, filter, into, the, province, rnAs, of, 9, a, m, on, Mon"			 || 			"EDMONTON  rnA thick layer of haze and smoke has been blanketing Edmonton for days, as wildfire smoke from B.C., Saskatchewan and the U.S. continues to filter into the province.rnAs of 9 a.m. on Mon "
